city,state,zip,members,latitude,longitude
New London,NC,28127,17,35.463024,-80.1649
Cerro Gordo,NC,28430,17,34.285951,-78.93039
Belton,SC,29627,17,34.517231,-82.49053
Pompano Beach,FL,33064,17,26.279108,-80.11319
Massillon,OH,44646,17,40.805131,-81.50101
Hamilton,OH,45013,17,39.409188,-84.60321
Glouster,OH,45732,17,39.506243,-82.0779
Jonesville,MI,49250,17,42.018585,-84.64548
Milton,DE,19968,16,38.772648,-75.28665
Keene,NH,3431,16,42.946418,-72.28616
Manchester,CT,6040,16,41.778888,-72.52384
Lanham,MD,20706,16,38.964093,-76.85331
Salisbury,MD,21804,16,38.359332,-75.56931
Ripley,WV,25271,16,38.803814,-81.70763
Berkeley Springs,WV,25411,16,39.567987,-78.22783
Beckley,WV,25801,16,37.79064,-81.19958
Locust,NC,28097,16,35.267185,-80.4268
Marshville,NC,28103,16,34.99545,-80.35635
Norwood,NC,28128,16,35.228831,-80.15214
Charlotte,NC,28214,16,35.276639,-80.96111
Thurmond,NC,28683,16,36.394123,-80.91951
Sylva,NC,28779,16,35.37273,-83.20772
Palatka,FL,32177,16,29.666218,-81.67401
Wauchula,FL,33873,16,27.541676,-81.8127
Talladega,AL,35160,16,33.415449,-86.10908
Ironton,OH,45638,16,38.535109,-82.6737
Bangor,MI,49013,16,42.308798,-86.12201
Greenwood,DE,19950,15,38.818541,-75.60966
Shirley,NY,11967,15,40.794317,-72.87181
Reading,PA,19601,15,40.348092,-75.93577
Stuart,VA,24171,15,36.655575,-80.23909
Max Meadows,VA,24360,15,36.933981,-80.92897
Wytheville,VA,24382,15,36.947446,-81.09439
Bluefield,WV,24701,15,37.2757,-81.2145
Huntington,WV,25701,15,38.403511,-82.43904
Rainelle,WV,25962,15,37.966816,-80.7889
Burlington,NC,27217,15,36.132737,-79.41135
Bessemer City,NC,28016,15,35.292581,-81.28723
Charlotte,NC,28208,15,35.235791,-80.89295
Charlotte,NC,28216,15,35.286967,-80.87903
Bryson City,NC,28713,15,35.395491,-83.47397
Greenville,SC,29611,15,34.840717,-82.44234
Clover,SC,29710,15,35.109114,-81.19429
Rock Hill,SC,29730,15,34.914611,-81.0125
Jacksonville,FL,32244,15,30.222489,-81.74894
Salem,OH,44460,15,40.898658,-80.86094
Marion,IN,46953,15,40.53089,-85.65922
New Castle,IN,47362,15,39.92698,-85.3697
Gladwin,MI,48624,15,44.041529,-84.46503
Mio,MI,48647,15,44.654024,-84.10388
Saint Louis,MI,48880,15,43.422397,-84.60041
Decatur,MI,49045,15,42.105719,-85.99417
Alexander,AR,72002,15,34.644387,-92.50223
Berwick,PA,18603,14,41.061356,-76.24934
Chesterfield,VA,23832,14,37.405699,-77.5838
Chilhowie,VA,24319,14,36.776534,-81.65827
Elkview,WV,25071,14,38.451344,-81.46602
Branchland,WV,25506,14,38.214232,-82.191
Augusta,WV,26704,14,39.285323,-78.59401
Randleman,NC,27317,14,35.817411,-79.80389
Timberlake,NC,27583,14,36.291896,-78.93552
Cherryville,NC,28021,14,35.383935,-81.39368
Troutman,NC,28166,14,35.687365,-80.88715
Bakersville,NC,28705,14,36.033454,-82.16858
Burnsville,NC,28714,14,35.891276,-82.30008
Deltona,FL,32738,14,28.910383,-81.18764
Arcadia,FL,34266,14,27.201006,-81.87196
Ashland,AL,36251,14,33.243964,-85.84503
Flat Lick,KY,40935,14,36.867971,-83.74576
Pikeville,KY,41501,14,37.478169,-82.5189
Canal Winchester,OH,43110,14,39.854413,-82.80872
Kokomo,IN,46902,14,40.450623,-86.12127
Haltom City,TX,76117,14,32.805379,-97.27036
Houston,TX,77072,14,29.700898,-95.59002
New Castle,DE,19720,13,39.669219,-75.59003
Whitefield,NH,3598,13,44.378771,-71.62248
Oakland,ME,4963,13,44.560495,-69.76938
Connellsville,PA,15425,13,40.024138,-79.58414
Hanover,PA,17331,13,39.795301,-76.97727
Jenkintown,PA,19046,13,40.09811,-75.10949
Salisbury,MD,21801,13,38.369675,-75.61214
Petersburg,VA,23803,13,37.21695,-77.43063
Hillsville,VA,24343,13,36.750353,-80.68706
Ivanhoe,VA,24350,13,36.809933,-80.99526
Ona,WV,25545,13,38.44068,-82.22311
Huntington,WV,25704,13,38.386966,-82.49609
Hinton,WV,25951,13,37.671295,-80.86867
Wellsburg,WV,26070,13,40.266698,-80.59709
Romney,WV,26757,13,39.321688,-78.74815
Lowgap,NC,27024,13,36.520921,-80.84824
Tobaccoville,NC,27050,13,36.235252,-80.38089
Walnut Cove,NC,27052,13,36.298241,-80.14383
Kernersville,NC,27284,13,36.119887,-80.08726
